name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url
Fitness Coach Mika,South England & Scotland — Beauty & Wellness,Personal trainer,"Portsmouth, Hampshire",Fitnesscoachmika@gmail.com,,Facebook page only; no website found in searches,Dedicated website search found nothing beyond the Facebook page; email Fitnesscoachmika@gmail.com shown in Facebook search snippet,"Coaching business selling personalised programmes needs a credibility site with packages, testimonials and sign-up — Facebook alone caps client acquisition",sole trader,https://www.facebook.com/FitnessCoachMika/
Beauty & the Beach,South England & Scotland — Beauty & Wellness,"Beauty salon (nails, lashes, tanning)","36 Seabourne Road, Bournemouth",beautyandthebeach36@gmail.com,01202 430099,"Facebook page only; bookings by phone, DM or WhatsApp","Search confirmed salon 'operates through phone calls, social media and WhatsApp for bookings rather than a dedicated website'; email beautyandthebeach36@gmail.com shown in Facebook search snippet","Multi-service salon (nails, lashes, tans, sunbeds) with premises handling every booking manually — online booking site directly recovers missed appointments",unknown,https://www.facebook.com/beautbeach/
The Hair Lounge Southbourne,South England & Scotland — Beauty & Wellness,Hair salon,"182 Seabourne Road, Pokesdown, Bournemouth BH5 2JB",thehairlounge182@gmail.com,01202 421902,Facebook page + Fresha marketplace listing; no own website,"Search shows presence only on Facebook, Fresha and review aggregators (29 reviews on Birdeye); email thehairlounge182@gmail.com shown in Facebook search snippet","Full-service salon (extensions, balayage, keratin — high-ticket services) relying on Fresha; own site with booking keeps margin on premium treatments",unknown,https://www.facebook.com/thehairloungesouthbourne/
The Old School Barbershop,South England & Scotland — Beauty & Wellness,Barber,"113 Cowgate, Kirkintilloch, Glasgow G66 1JD",Theoldschoolglasgow@gmail.com,,Facebook page + Fresha booking page + Kirkintilloch BID directory listing; no own website,Website search returned only Facebook and Fresha (paying marketplace fees for bookings); email Theoldschoolglasgow@gmail.com shown in Facebook search snippet,"Self-described award-winning barbershop with established trade, entirely dependent on Fresha for online bookings — own booking site removes commission",unknown,https://www.facebook.com/theoldschoolglasgow/
Upper Cuts West End Barbershop,South England & Scotland — Beauty & Wellness,Barber,"166 Archerhill Road, Glasgow G13 3JG",Uppercutswestendbarbershop@gmail.com,+44 7385 231420,"Facebook page + Fresha listing + directory entries (Cylex, Shoogle); no own website (uppercutsbarbershop.uk is a different business)",Search returned only Facebook/Fresha/directories for this address; a similarly named competitor owns uppercutsbarbershop.uk; email shown in Facebook search snippet,Open 6 days with walk-in and booked trade via Fresha; name confusion with another 'Uppercuts' site means they lose customers — own domain fixes both,unknown,https://www.facebook.com/uppercutswestendbarbershop/
Bishopbriggs Barber Shop,South England & Scotland — Beauty & Wellness,Barber,"Unit 1, 30 Wellington Road, Bishopbriggs, Glasgow G64 2SA",bishopbriggsbarbershop04@gmail.com,07786 985133,Facebook page + Nearcut booking subdomain (bishopbriggsbarbershop.nearcut.com); no own website,Only web presence is Facebook and a nearcut.com booking subdomain — no branded domain or site; email bishopbriggsbarbershop04@gmail.com shown in Facebook search snippet,Already pays for and actively uses an online booking tool (Nearcut) and has strong reviews — proven willingness to spend on digital; needs a proper site fronting it,unknown,https://www.facebook.com/thebriggsbarbers/
Lashes by Ann Eyelash Extensions,South England & Scotland — Beauty & Wellness,Lash technician / training,Edinburgh,lashesbyann.edinburgh@gmail.com,,Facebook page + free Square Online site (lashes-by-ann-edinburgh.square.site) for appointments,Only site is a free square.site builder subdomain; otherwise Facebook; email lashesbyann.edinburgh@gmail.com shown in Facebook search snippet,Sells both lash services and training courses (higher ticket) from a free subdomain that undermines pricing power — a branded site lifts course conversions,sole trader,https://www.facebook.com/LashesByAnnEyelashExtensions/
Athena Hair Aberdeen,South England & Scotland — Beauty & Wellness,Hair salon,"3 St Devenick's Place, Cults, Aberdeen AB15 9LN",athenahairaberdeen@gmail.com,+44 7548 295894,Facebook + Instagram (@athenahairaberdeen) + Fresha booking pages; no own website (hairbyathena.com is an unrelated US business),"Search returned only Facebook, Instagram, Fresha and directories; bookings run through stylists' individual Fresha pages; email athenahairaberdeen@gmail.com shown in Facebook search snippet",Studio salon offering bridal and extension services (high-value bookings) with fragmented Fresha-only presence — one branded site with unified booking is an easy sell,unknown,https://www.facebook.com/p/Athena-Hair-Aberdeen-100065379012724/
Christina Hair and Beauty Salon,South England & Scotland — Beauty & Wellness,Hair & beauty salon,"9 Ashvale Place, Aberdeen AB10 6QD",kristinekudojara75@gmail.com,+44 7519 280190,Facebook page + Fresha and Booksy marketplace listings + Groupon; no own website,"Search shows presence only on Facebook, Fresha, Booksy and Groupon — paying commission on multiple marketplaces and discounting via Groupon; email kristinekudojara75@gmail.com shown in Facebook search snippet","Unisex salon open 6 days, currently splitting bookings across two commission platforms plus Groupon discounts — own site consolidates and protects margin",unknown,https://www.facebook.com/Christinahairandbeautysalon/
Perfect Nails,South England & Scotland — Beauty & Wellness,Nail salon,"18 Union Street, Dundee DD1 4BH",perfectnails120126@gmail.com,07907 651888,"Facebook page + free Weebly site (perfectnailssalon.weebly.com) + Fresha listing; no online booking ('online booking unavailable, call to book')",Directory listings confirm website is a free weebly.com subdomain and that online booking is unavailable — phone-only bookings; email perfectnails120126@gmail.com shown in Facebook search snippet,City-centre salon open 6 days taking every booking by phone from a free Weebly page — direct revenue case for a real site with booking,unknown,https://www.facebook.com/perfectnails1819/
Sky Nails & Spa Dundee,South England & Scotland — Beauty & Wellness,Nail salon,"26 Whitehall Crescent, Dundee DD1 4AY",kimcuongdiamond2019@gmail.com,01382 224512,Facebook page + Fresha marketplace listing; no own website found,"Website search returned only Facebook, Fresha and local directories — online bookings exclusively through Fresha (commission); email kimcuongdiamond2019@gmail.com shown in Facebook and Fresha search snippets",City-centre salon with a wide service menu (12+ treatment types) fully dependent on a commission marketplace for online bookings — own booking site pays for itself,unknown,https://www.facebook.com/p/Sky-Nails-Spa-Dundee-100063661474512/
Clean-ease & Maintenance,North & Midlands — Services,Cleaning services,Manchester (covers all Greater Manchester),Cleaneasemanchester@gmail.com,07578654770,"Nextdoor business page only (Neighbourhood Favourite 2023); gmail address and mobile number, no own website found","Offers domestic, office, commercial, oven, carpet and builders cleans across all of Greater Manchester but is invisible outside Nextdoor; relies on a free gmail address",Multi-service cleaning outfit with commercial clients and a 2023 Neighbourhood Favourite badge - established enough to fund a lead-generating site to compete with franchised cleaners in Manchester,sole trader,https://nextdoor.co.uk/pages/clean-ease-manchester-gb-eng/
CJ's Man and Van,North & Midlands — Services,Removals / man and van,"Aigburth, Liverpool (L17)",cjsmanandvan.liv@gmail.com,07941385467,"Facebook page, Nextdoor page, Instagram (@cjsmanandvan) and a Bark profile; no website","Does A-to-B moves anywhere plus gazebo hire and student discounts, with good reviews, but bookings run entirely through social media and a gmail address",Active on four platforms and paying for Bark leads already - a cheap quote-form website would cut their per-lead cost and capture Liverpool student-move searches,sole trader,https://nextdoor.co.uk/pages/cjs-man-and-van-liverpool-gb-eng/
Hughes & Son Exterior Cleaning,North & Midlands — Services,Cleaning services (exterior / driveway),"Haughton Green, Denton, Greater Manchester",hughesandsonclean@gmail.com,07956034636,Nextdoor business page only; no website found,Family-run driveway and exterior cleaning specialists marketing purely through Nextdoor with a gmail contact,Driveway/pressure-washing jobs are high-ticket (hundreds of pounds each) and before/after photo galleries convert well - a simple portfolio site pays for itself in one or two jobs,sole trader,https://nextdoor.co.uk/pages/hughes-son-exterior-cleaning-manchester-gb-eng/
Learn with Tom Driving School,North & Midlands — Services,Driving instructor,Manchester,learnwithtom1@gmail.com,,Nextdoor business page only; no website found,"DBS-checked, first-aid-trained instructor teaching beginners through to refresher pupils, but discoverable only via Nextdoor and a gmail address","Driving lessons are booked by web search in a competitive Manchester market where rivals (RED, L Team, Suja) all have booking sites; recurring lesson revenue supports a modest site spend",sole trader,https://nextdoor.co.uk/pages/learn-with-tom-driving-school/
Rox Handyman Services,North & Midlands — Services,Handyman,"Coventry, West Midlands",roxhandymanservices@gmail.com,07990158186,Nextdoor business page only; no UK website found,"Certified and insured handyman offering painting, plumbing fixes, flat-pack assembly, TV mounting and tech help - a wide service list with nowhere online to present it","Broad, repeatable service menu suits a one-page site with price list and WhatsApp/quote button; insured-and-certified positioning suggests a professionalised operation willing to invest",sole trader,https://nextdoor.co.uk/pages/rox-handyman-services/
T & T Handyman Huddersfield,North & Midlands — Services,Handyman,"Huddersfield, West Yorkshire",tandthandymanhuddersfield@gmail.com,07736611705,Nextdoor business page only; no website found,"Trading under a town-branded name with only a Nextdoor listing, gmail address and mobile - no way to rank for 'handyman Huddersfield' searches","Business name is literally its target search keyword, so a basic local-SEO site would deliver obvious, measurable benefit - an easy pitch",sole trader,https://nextdoor.co.uk/pages/t-t-handyman-huddersfield-huddersfield-gb-eng/
The Lumberjack Bros Ltd,North & Midlands — Services,Tree surgery / garden services,"Sheffield, South Yorkshire",thelumberjackbrosltd@gmail.com,,Nextdoor business page only; no website found,"Family-owned tree care and garden services firm serving domestic and commercial clients with no site to show insurance, qualifications or job photos","Registered limited company chasing commercial tree-work contracts - clients expect proof of NPTC certs and insurance online, and tree jobs are high-value (500-2000+ pounds)",ltd company,https://nextdoor.co.uk/pages/the-lumberjack-bros-ltd-sheffield-england/
The Lock-man,North & Midlands — Services,Locksmith,"Lincoln, Lincolnshire (East Midlands)",theuklockman@gmail.com,,Nextdoor business page only; no website found,"45+ years in the trade covering lock-outs, lost keys, uPVC and glazing repairs, yet no web presence beyond Nextdoor to capture urgent 'locksmith Lincoln' searches",Emergency locksmith work is won almost entirely by whoever appears first in a panicked mobile search; decades of trade credibility gives strong content for a converting one-pager,sole trader,https://nextdoor.co.uk/pages/the-lock-man-lincoln-gb-eng/
Yard & Forecourt Cleaning Services,North & Midlands — Services,Gardening / outdoor cleaning and maintenance,"Stoke-on-Trent, Staffordshire (covers Newcastle-under-Lyme, Stafford, Stone, Crewe)",yardandforecourt@gmail.com,,Nextdoor business page only; no website found,"Advertises gardening, rubbish removal and fence/gate repairs across a wide Staffordshire/Cheshire patch but has no site covering those service areas","Serves eight named towns - a multi-location service-area website is the standard tool for that footprint, and forecourt work implies commercial clients who check suppliers online",sole trader,https://nextdoor.co.uk/pages/yard-and-forecourt-cleaning-services-stoke-on-trent-england/
Merit Removals Man And Van (Malik Motors Properties Ltd),North & Midlands — Services,"Removals / man and van, junk removal","Stockport, Greater Manchester (SK6)",malikmotors.properties@gmail.com,,"Nextdoor business page only (page registered under Malik Motors Properties Ltd, trading as Merit Removals Man And Van); no website found",Removals and junk-hauling service using a mismatched company gmail address and a single Nextdoor listing - confusing branding and zero search visibility,"Ltd-company owner with property interests running a consumer-facing removals brand; a branded domain, email and site would fix an obvious trust problem when quoting jobs",ltd company,https://nextdoor.co.uk/pages/malik-motors-properties-ltd-stockport-gb-eng/
House To Home Cleaning,North & Midlands — Services,Cleaning services,"Wythenshawe, Manchester (M23)",housetohomemcr@gmail.com,07736761812,Nextdoor business page and Instagram (@housetohomemcr); no own website - the similarly named housetohomecleaningmanchester.co.uk belongs to a different company (Bee Cleaning Manchester),"Tailored domestic cleaning team relying on Nextdoor and Instagram; a near-identical domain is already occupied by a competitor, actively diverting their brand searches","A competitor trading on almost the same name online is a concrete, explainable revenue leak - securing their own domain and site is an urgent, easy-to-sell fix",sole trader,https://nextdoor.co.uk/pages/house-to-home-cleaning-wythenshawemanchester-england/
Ef cleans,North & Midlands — Services,Cleaning services,"Leeds, West Yorkshire",Efcleans21@gmail.com,,Nextdoor business page only (10 faves from neighbours); no website found,"Offers weekly/fortnightly cleans, deep cleans, end-of-tenancy, builders cleans, hoarder and bereavement cleans plus Airbnb changeovers - a full service list with no site to book from","Airbnb and end-of-tenancy cleaning are contract-style recurring revenue; landlords and hosts search online and expect a bookable website, making ROI easy to demonstrate",sole trader,https://nextdoor.co.uk/pages/kj-cleans-leeds-gb-eng/
Smith's Van Man,North & Midlands — Services,Removals / man and van,"Leeds, West Yorkshire",Smithsvanman@gmail.com,,Nextdoor business page only; no website found,"Family-run since 2019, licensed waste carrier doing house moves, furniture pickups and rubbish removal, but bookable only via Nextdoor/gmail",Six years established with a waste-carrier licence to showcase; Leeds man-and-van searches are high volume and competitors with basic sites are taking that traffic,sole trader,https://nextdoor.co.uk/pages/smiths-van-man-leeds-gb-eng/
A. Baxter Garden Services,North & Midlands — Services,Gardener,"Birmingham, West Midlands",abaxtergardenservices@gmail.com,07960411327,Nextdoor business page only (Neighbourhood Favourite 2023); no website found,RHS-trained gardener with years of experience whose only online proof of that qualification is a Nextdoor listing,RHS training is a premium differentiator wasted without a website; regular maintenance rounds mean steady cashflow and appetite for filling schedule gaps with better-paying clients,sole trader,https://nextdoor.co.uk/pages/alexander-baxter-birmingham-england/
A K Hughes Landscapes and Handyman Services,North & Midlands — Services,Landscaping / handyman,"Wythenshawe/Cheadle area, Greater Manchester (M22)",arranhughes02@gmail.com,,Nextdoor business page only; no website found,"Landscaping, handyman and general contracting services covering the Cheadle and Wilmslow area, advertised solely through Nextdoor with a personal gmail",Targets affluent Cheadle/Wilmslow postcodes where landscaping projects run into thousands of pounds and clients vet tradespeople online before inviting quotes,sole trader,https://nextdoor.co.uk/pages/a-k-hughes-landscapes-and-handyman-services-manchester-gb-eng/
Cake Sisters Birmingham,North & Midlands — Services,Caterer / celebration cakes and bakes,"Birmingham, West Midlands",cakesistersbirmingham@gmail.com,,Nextdoor business page and Instagram (@cakesistersbirmingham); fully insured and licensed but no functioning own website found (cakesisters.co.uk belongs to an unrelated business),"Family bakery delivering brownies, tray bakes, cupcakes and drip cakes across Birmingham postcodes, taking all orders through Instagram DMs and gmail","Order-based product business that loses sales without a menu, pricing and order form online; even a simple e-commerce page directly increases order volume, and the .co.uk-style names are being taken by others",sole trader,https://nextdoor.co.uk/pages/cake-sisters-birmingham-birmingham-england/
B.P.S.S. UK Ltd (Burnham Pest Solution Services),North & Midlands — Services,Pest control (home services),"Solihull, West Midlands",bpssukltd@hotmail.com,,"NPTA directory listing, Hello Solihull directory entry and Facebook page; no website found",BPCA/NPTA-member pest controller for commercial and residential properties relying on trade-association directories and a hotmail address for enquiries,Limited company with commercial contracts and professional-body memberships to display; pest emergencies are searched online and every serious competitor in the West Midlands has a site,ltd company,https://www.npta.org.uk/pest-controller/b-p-s-s-uk-ltd/
Sprintmove Ltd,North & Midlands — Services,"Removals / man and van, house clearance","Ainsdale, Southport, Merseyside (covers Liverpool, Wigan, Chorley, Wirral)",sprintmoveltd@gmail.com,07947199329,Nextdoor page plus a very dated DIY template site (sprintmoveltd.co.uk with raw index.php URLs); still uses a gmail address rather than domain email,Fully licensed and insured waste carrier and removals firm whose current self-built site is outdated keyword-stuffed boilerplate that undermines trust and doesn't convert,"Has already tried to invest in a website once, proving willingness to spend; a redesign pitch (modern quote form, review integration, domain email) addresses a problem they can see themselves",ltd company,https://nextdoor.co.uk/pages/sprintmove-ltd-man-van-for-hire/
Dan's Mobile Mechanics,North & Midlands — Services,Mobile mechanic,"Sutton Coldfield, Birmingham (B73)",,07827774905,Nextdoor business page and Facebook page; no proper website found,"Offers servicing, brakes, clutches, gearboxes, diagnostics and an MOT drop-off/delivery service, but has no site to list services, prices or service area",Mobile mechanics compete directly with ClickMechanic-style platforms that take commission; an own-brand booking site keeps the full job value and captures 'mobile mechanic Sutton Coldfield' searches,sole trader,https://nextdoor.co.uk/pages/d-m-mobile-vehicle-repairs-and-servicing/
Northeast Gardening Services,North & Midlands — Services,Gardener,"Newcastle upon Tyne, Tyne and Wear (covers most of the North East)",,07960071729,Nextdoor business page and Facebook page; no website found,"Two-man team with 10+ years' experience covering most of the North East, marketing only through Nextdoor and Facebook with a phone number",Region-wide coverage ambition ('most of the northeast') needs search visibility beyond neighbourhood apps; young team building a growing business is a classic first-website buyer,sole trader,https://nextdoor.co.uk/pages/northeast-gardening-services/
JW Henshaw Traditional Family Butchers,"Wales, Scotland & North — Retail/Produce",butcher,"Aughton, Ormskirk, Lancashire (North West England)",jwhenshaw.aughton@gmail.com,01695 423353,"No website. Facebook page (facebook.com/jwhenshawbutchers) and directory listings only (Cylex, The Guide Liverpool, BeeLocal); uses a personal Gmail for enquiries.","Award-winning craft butcher (master butcher James Henshaw, sausages and ham cured on premises) with strong reviews but zero owned web presence; email verified via exact-match search on Cylex/The Guide Liverpool listings.","Premium butcher in an affluent West Lancashire commuter village; a site with click-and-collect, weekly meat boxes and a Christmas order book would directly convert its award reputation into revenue.",sole trader,https://aughton-west-lancashire.cylex-uk.co.uk/company/jw-henshaw-traditional-family-butchers-27745981.html
Ludbrook's Farm Shop,"Wales, Scotland & North — Retail/Produce",farm shop,"Cliffe Farm, Cottingley Cliffe Road, Bingley, West Yorkshire",ludbrooksfarmshop@gmail.com,01274 589325,"No website. Facebook and Instagram pages plus directory listings (Cylex, Yell, Farm Shop Finder, FarmingUK).","Family-run farm shop open 7 days selling home-produced meat, pies, jams and veg, but reachable only via Gmail/Facebook; email verified via exact-match search (Cylex Bingley listing).","Trades 7 days a week on home-reared meat near Bradford/Leeds commuter belt; online meat-box ordering, click-and-collect and Christmas order forms are proven revenue lines for farm shops this size.",unknown,https://bingley.cylex-uk.co.uk/company/ludbrook's-farm-shop-26909545.html
Eastfield Farm Soft Fruit (Brittain's Berries site),"Wales, Scotland & North — Retail/Produce",farm shop / pick-your-own soft fruit,"Tickhill, Doncaster, South Yorkshire",strawberryj8@aol.com,01302 751729,Facebook page and a landing page on the PYO operator's site (brittainsberries.co.uk); the farm shop itself has no site of its own and lists an AOL email on the localhoneyfinder.org directory.,"Farm shop, tearoom, PYO strawberries/pumpkins and honey sold via an AOL address and Facebook events; heavy seasonal footfall managed with no owned booking or ordering channel.","Seasonal PYO and pumpkin-patch businesses monetise online slot booking, pre-orders and gift produce; a proper site would capture the June-October rush and Christmas produce orders.",sole trader,https://www.localhoneyfinder.org/UKyorks.php
The Village Farm Shop,"Wales, Scotland & North — Retail/Produce",farm shop / deli,"6 Front Street, Embleton, Alnwick, Northumberland",info@thevillagefarmshop.com,01665 576215,No proper site of its own: relies on pages hosted on the family farm's site (embletonmill.com) and a basic non-HTTPS page at thevillagefarmshop.com; also on Visit Northumberland and TripAdvisor.,"Recently refurbished village shop with deli, local cheeses, smoked fish and in-store Post Office, but its own domain is a bare non-HTTPS page and content lives on the farm's holiday-lets site; email verified on embletonmill.com shop pages.","Sits on the Northumberland coast tourist trail (Dunstanburgh Castle/Embleton Bay holiday traffic); a dedicated site with hampers, picnic pre-orders and click-and-collect would capture high-spending visitors.",unknown,https://www.embletonmill.com/village-farm-shop/
Badger Hill Butchers,"Wales, Scotland & North — Retail/Produce",butcher,"37 Yarburgh Way, Badger Hill, York, North Yorkshire",simonsimpson9611@gmail.com,01904 411897,Old domain badger-hill-butchers.co.uk now resolves to a ww1. parking page (dead/expired site); active presence is Facebook plus directory listings showing owner's personal Gmail.,"Family butcher trading since the 1920s with homemade pies and strong reviews, whose former website is parked/broken and whose public contact is a personal Gmail on Cylex/York Mumbler listings.",Established York suburb butcher losing its old web address; a modern site with click-and-collect pies/meat and Christmas ordering would recover lost search traffic in a city with strong food culture.,sole trader,https://york.cylex-uk.co.uk/company/badger-hill-butchers-13780551.html
Firs Farm (farm shop),"Wales, Scotland & North — Retail/Produce",farm shop,"Ringinglow Road, Sheffield, South Yorkshire",firsfarm@btinternet.com,0114 230 1169,"Clearly dated static site at firsfarmsheffield.co.uk (non-HTTPS, old .html pages); listed on Produce & Provide and Food Finders Hub directories.","Family farm selling home-reared beef, lamb, Christmas turkeys and geese through a legacy hand-built site with a BT Internet email; no online ordering despite an order-driven Christmas trade.","Christmas turkey/goose pre-orders are their core seasonal revenue and are still taken by phone; an online order form and deposit payments is an easy, high-value sell on the edge of the Peak District.",sole trader,http://www.firsfarmsheffield.co.uk/location.html
Haytons Butchers Staveley,"Wales, Scotland & North — Retail/Produce",butcher,"12 Main Street, Staveley, Kendal, Cumbria (Lake District)",haytonsbutchers@gmail.com,,"No website; Facebook page only (facebook.com/HaytonsButchersLakeDistrict), with Gmail contact shown on the page.",Village butcher in the Lake District National Park with no owned web presence at all; email verified by exact-match search returning their Facebook pages.,"Staveley is a busy Lakes tourist and holiday-cottage village; a simple site with BBQ packs, holiday-let welcome boxes and click-and-collect would monetise year-round visitor trade.",unknown,https://www.facebook.com/HaytonsButchersLakeDistrict/
Sakura Cakery,"Wales, Scotland & North — Retail/Produce",cake maker,"Cardiff, South Wales",sakuracakery@hotmail.com,07974 988988,Facebook page only (facebook.com/Madame8utterflyCakery); no website.,"Fresh-cream cakes made to order, taken only via Hotmail address and phone shown on Facebook; email verified by exact-match search.","Made-to-order celebration cake businesses convert well with an enquiry/booking site, gallery and deposit payments; Cardiff is a large wedding and birthday market.",sole trader,https://www.facebook.com/Madame8utterflyCakery/
Prestatyn Butchers,"Wales, Scotland & North — Retail/Produce",butcher,"140 High Street, Prestatyn, Denbighshire, North Wales",prestatynbutchers@gmail.com,01745 854171,Basic brochure site (prestatynbutchers.co.uk) where Christmas orders are handled via a downloadable PDF form; active Facebook and Instagram; contact is a Gmail address.,Award-winning butcher already offering free local delivery and Christmas hampers but with no e-commerce - customers must print a PDF order form; email verified via exact-match search (localfreshfoods.co.uk listing and Facebook).,"They demonstrably want orders (PDF forms, hampers, free delivery) - replacing that with online ordering/click-and-collect is a direct, measurable upgrade in a seaside town with holiday-park trade.",unknown,https://www.prestatynbutchers.co.uk/
T J Roberts & Son Family Butchers,"Wales, Scotland & North — Retail/Produce",butcher,"Tryweryn House, 8 Station Road, Bala, Gwynedd (Snowdonia National Park)",bala@welshqualitymeat.co.uk,01678 520471,"Clearly dated early-2000s website at welshqualitymeat.co.uk (legacy .aspx pages, e.g. contact_us-6.aspx, buy_our_products_-4.aspx).",Traditional family butcher in the heart of Snowdonia running on an obsolete .aspx site; email shown on the site's contact page and directory listings.,"Bala's tourist and outdoor-activity trade plus quality local Welsh lamb/beef make online meat boxes, hampers and click-and-collect viable; the current site actively undermines a premium brand.",unknown,https://www.welshqualitymeat.co.uk/contact_us-6.aspx
Bridgend Bakestones,"Wales, Scotland & North — Retail/Produce",bakery (Welsh cakes and bara brith),"Bridgend, South Wales",annebinding63@gmail.com,,"Facebook page only (facebook.com/Bakestones, 3,000+ likes); no website.",Family-run maker of homemade Welsh cakes and bara brith trading solely off a Facebook page with a personal Gmail shown as contact (email captured from Facebook page snippet in search results).,"Welsh cakes and bara brith ship well - postal gifting, wedding favours and tourist orders are proven revenue for competitors with websites; even a simple order site would open UK-wide sales.",sole trader,https://www.facebook.com/Bakestones/
The Flower Lady,"Wales, Scotland & North — Retail/Produce",florist,North Wales (mobile/home studio),theflowerladynorthwales@gmail.com,,Facebook page only (100% recommend rating); no website.,Floral design business serving North Wales operating entirely through Facebook with a Gmail contact; email verified by exact-match search returning the Facebook page.,"Florists live on occasion orders (weddings, funerals, birthdays); an order/enquiry site with a gallery and online payment captures customers who won't transact through Facebook Messenger.",sole trader,https://www.facebook.com/theflowerladynorthwales/
G R Brown Butchers (Gordon R Brown (Butchers) Ltd),"Wales, Scotland & North — Retail/Produce",butcher,"665a Clarkston Road, Netherlee, Glasgow, plus 12 Glasgow Road, Eaglesham, East Renfrewshire, Scotland",grbbutchers@gmail.com,,"No website; Facebook (facebook.com/grbrownbutchers) and Instagram only, plus directory listings. Registered at Companies House as GORDON R BROWN (BUTCHERS) LTD (SC764357).","Award-winning dry-ageing/full-carcase butcher serving East Renfrewshire for 50 years, two shops, own pies and sausages - and no website; Gmail contact shown on their Facebook page (captured via search snippet).","Two-shop incorporated butcher in affluent Glasgow suburbs with a premium dry-aged offer; online ordering, delivery slots and Christmas order books are standard paid upgrades at this size.",ltd company,https://www.facebook.com/grbrownbutchers/
Blooming Mad,"Wales, Scotland & North — Retail/Produce",florist,"Glasgow, Scotland",bloomingmadglasgow@gmail.com,,"Facebook page only (100% recommend rating, 17 reviews); no website.","Studio florist covering weddings, funerals and events with delivery across Glasgow, contactable only via Gmail/Facebook; email verified by exact-match search returning the Facebook page.",Glasgow wedding/event floristry is competitive and search-driven; a portfolio site with enquiry forms and online deposits directly wins bookings currently lost to florists with websites.,sole trader,https://www.facebook.com/bloomingmadglasgow/
The Skye Bakehouse,"Wales, Scotland & North — Retail/Produce",bakery,"Bog Myrtle, Isle of Skye, Highland, Scotland",theskyebakehouse@gmail.com,,"Facebook and Instagram (3,200+ followers) only; no website.","Independent organic sourdough bakery on Skye selling out limited bakes announced on social media, with only a Gmail contact; email verified by exact-match search.",Skye's huge tourist volume plus scarce artisan bread supply makes pre-order/click-and-collect and wholesale enquiry pages genuinely revenue-generating; social-only presence loses visitor search traffic.,sole trader,https://www.facebook.com/theskyebakehouse/
Sunrise Bakehouse,"Wales, Scotland & North — Retail/Produce",bakery,"Burntisland, Fife, Scotland",sunrisebakehousefife@gmail.com,,Facebook and Instagram only; no website. Opens Thursday-Saturday.,Family-owned artisan sourdough and cinnamon-bun bakery trading three days a week entirely through social media with a Gmail contact; email verified by exact-match search.,"Limited opening days suit a pre-order/collection model perfectly - a simple ordering site would smooth demand, cut waste and capture Fife coastal-path tourist trade.",unknown,https://www.facebook.com/sunrisebakehousefife/
Highland Gift Company,"Wales, Scotland & North — Retail/Produce",gift shop,"Invergordon, Easter Ross, Highland, Scotland",highlandgiftcompany1@gmail.com,07999 807271,"Facebook page only; no website (email and mobile shown on the Facebook page, captured via search snippet).",Gift shop in a Highland cruise-ship port town with no web presence beyond Facebook and a Gmail/mobile contact.,Invergordon receives large cruise-liner footfall seeking Scottish gifts; an online shop with Highland gifts/hampers extends that seasonal trade to year-round postal sales.,sole trader,https://www.facebook.com/100091917047072
Magness Butchers,"Wales, Scotland & North — Retail/Produce",butcher,"96 John Street, Porthcawl, Bridgend, South Wales",,01656 783828,"Facebook page whose username still references www.magnessbutchers.co.uk, but no working website was found in searches; otherwise only directory listings (Cylex, Yell, 192.com).","Established town-centre butcher whose old domain appears defunct - the Facebook handle points at a website that no longer surfaces anywhere, leaving phone-only contact.",Porthcawl is a seaside resort with strong summer/BBQ trade and caravan-park tourism; restoring a proper site with click-and-collect and holiday BBQ packs recovers a web presence they previously invested in.,sole trader,https://porthcawl.cylex-uk.co.uk/company/magness-butchers-26591406.html
Cwmcerrig Farmshop and Grill,"Wales, Scotland & North — Retail/Produce",farm shop,"Cwmcerrig Farm, Gorslas, Llanelli, Carmarthenshire, Wales",,01269 844405,Dated non-HTTPS website at cwmcerrigfarmshop.co.uk with no online ordering and no public email; active Facebook page.,"Award-winning farm shop and grill whose site is an old insecure brochure page - no email published anywhere, no e-commerce, contact by phone only.","A destination farm shop with an attached grill restaurant has clear upsells - table booking, butchery counter pre-orders, hampers - none of which the current dated site supports.",unknown,http://www.cwmcerrigfarmshop.co.uk/
Bendochy Farm Shop,"Wales, Scotland & North — Retail/Produce",farm shop,"Bendochy Park, Myreriggs, Coupar Angus, Perthshire, Scotland",,,Facebook and Instagram pages plus a single page on the holiday park's site (bendochypark.co.uk/Farm-Shop); no website or public email of its own.,"Registered farm shop (FSA-rated) serving a holiday lodge park near Blairgowrie, discoverable only via Facebook and a page buried on the park's website.","Captive holiday-park guest audience plus Blairgowrie soft-fruit country location suit pre-arrival grocery boxes, hampers and click-and-collect; currently invisible to visitors searching online.",unknown,https://www.facebook.com/bendochyfarmshop/
