name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url,notes
Tayper & Balla Gentlemen's Barbers,Midlands — Beauty & Wellness,Barbershop,"2 Spon Street, Coventry CV1 3BA, West Midlands",tayperballa@gmail.com,024 7622 4219,"Facebook page, Booksy and Fresha booking listings, Yell listing; press coverage (BBC, Coventry Telegraph) but no own website","A flagship independent barbershop featured in BBC and Modern Barber, sponsoring Coventry Blaze, yet all that brand equity points to third-party booking pages instead of an owned site","Premium 'barberista experience' positioning justifies premium pricing, which needs a premium web presence; they already invest in sponsorship/marketing so a website is a natural, affordable extension",unknown,https://www.facebook.com/tayperballa/,
CP's Barbers,Midlands — Beauty & Wellness,Barbershop,"353 Kenilworth Road, Balsall Common, Coventry CV7 7DL, West Midlands",porterjulie1@gmail.com,01676 530526,"Facebook page and Fresha/directory listings; directories cite cpbarbers.co.uk but that domain no longer resolves (ENOTFOUND on fetch), so no working website",Established 10+ years with a dead website domain still listed across directories - customers clicking through hit nothing; public contact is a personal Gmail,"They previously had a website (proving willingness to pay) and now have a broken web presence actively costing bookings; a rebuild with online booking is a concrete, urgent pitch",sole trader,https://www.facebook.com/CPBarbers/,
MW Hair Studio,Midlands — Beauty & Wellness,Hair salon,"80 Milton Road, Stoke-on-Trent ST1 6HD, Staffordshire",mwhairstudio1@gmail.com,01782 285878,"Facebook page (facebook.com/mwhairstudio1), Instagram and a Fresha booking listing; no own salon website","4.9-star salon (40 reviews) with a three-person team relying on Fresha and Facebook; no site presenting the team, colour services or prices",Colour work is high-ticket and consultation-driven; a site showcasing colour transformations with direct booking would attract new colour clients who won't book a big-ticket service off a bare Fresha listing,sole trader,https://www.facebook.com/mwhairstudio1,
Angel Nails Leicester,Midlands — Beauty & Wellness,Nail salon,"216 Narborough Road, Leicester LE3 2AN, Leicestershire",Angelnails.care@gmail.com,07585 698896,"Facebook page, Instagram (@angelnails_leicester), Fresha listing and a free Treatwell microsite subdomain (angelnails-leicester.mytreatwell.co.uk); no own website",Salon on Leicester's busiest independent retail street running promotions via Facebook posts; web presence is entirely rented marketplace subdomains rather than an owned domain,"Actively markets discounts (student, Blue Light, birthday) showing appetite for customer acquisition spend; an owned site would cut Treatwell/Fresha commissions and rank for 'nails Narborough Road' searches",unknown,https://www.facebook.com/angelnails.leicester/,
Liam Trans Ltd,London & South East — Services,Removals / man and van,"Colindale, London NW9",Alexandeu.lombrea10@gmail.com,+44 7889 462528,Free Wix subdomain (infoliamtrans.wixsite.com/liam-trans-london) plus Facebook page; no own domain,"Registered ltd company (Companies House 11673867, inc. 2018) still trading from a free wixsite.com subdomain with a personal Gmail as public contact",Established removals ltd competing in London's crowded man-and-van market where rivals have proper booking websites; a real domain and site directly wins quote requests,ltd company,https://infoliamtrans.wixsite.com/liam-trans-london,
Birch Gardening,London & South East — Services,Gardening,"Brighton and Hove, East Sussex",info@birchgardening.com,+44 7827 104976,"Facebook, Instagram and Nextdoor pages only; owns birchgardening.com email domain but no website found in search index",Two qualified staff (RHS-trained gardener and qualified tree surgeon) advertising redesigns and regular maintenance purely via social pages; already paid for a domain but has no site on it,"They already invested in a custom email domain, showing intent; garden design/redesign work is high-ticket and portfolio-driven, ideal for a gallery website",sole trader,https://www.facebook.com/birchgardeningFB/,
Murelli Bookkeeping Services,London & South East — Services,Bookkeeping,"Aquinas Street, London SE1",murelli.bookkeeping@gmail.com,,"Directory listings only (UK Small Business Directory, Yelp); no website","Offers VAT, payroll, self-assessment and credit-control services to SMEs and charities but is findable only via free directory profiles with a Gmail address",Professional-services clients expect a credible web presence before handing over their books; even a one-page site with services and testimonials materially raises conversion,sole trader,https://www.uksmallbusinessdirectory.co.uk/bid/233532/,
"MC4 Autos (Mobile Mechanic, Ford Specialist)",London & South East — Services,Mobile mechanic,"Beddington, Croydon CR0 (covers South London & Surrey)",mc4autos@gmail.com,+44 7415 810759,Basic self-built site at mc4autos.co.uk (homepage titled 'I am a Mobile Mechanic Covering South London & Surrey.') plus Facebook and Checkatrade; public contact is Gmail,One-man DIY site with first-person homepage copy and Gmail contact despite 5.0 Google rating and Ford/Kia dealer training since 2021,Strong reviews and dealer-level credentials are undersold by an amateur site; a professional site with booking/quote form converts his 100%-recommend reputation into work,sole trader,https://www.facebook.com/MC4Autos/,
J G Gardening,London & South East — Services,Gardening,South Croydon CR2,jggardening1@gmail.com,,Nextdoor page and Instagram only; no website,"Advertises full domestic and commercial garden maintenance (lawns, hedges, clearances, end-of-tenancy, waste removal) and is even recruiting staff, all through free platforms with a Gmail contact","A growing operation hiring staff needs a site for commercial clients and end-of-tenancy agency work, which social pages alone won't win",sole trader,https://nextdoor.co.uk/pages/j-g-gardening-south-croydon-england/,
KO Gardening Services,London & South East — Services,Gardening,Beckenham / South East London,kogardening@gmail.com,07814 452 885,Nextdoor page only; no website,"Several years established, fully insured (public liability and professional indemnity), strong neighbour recommendations, yet zero web presence beyond Nextdoor","Insured, established business with regular clients has revenue to invest; a simple site with reviews would capture search traffic Nextdoor never reaches",sole trader,https://nextdoor.co.uk/pages/kogardeningservices/,
DriveRight School of Motoring,London & South East — Services,Driving instructor,"Reading, Berkshire",Taimurmasood3@gmail.com,07532749660,Nextdoor page/neighbourhood listing only; no website,Offers both automatic and manual lessons in Reading but bookings run through a personal Gmail and phone number posted on a community page,"Driving schools live on local search ('driving lessons Reading'); competitors all have booking sites, and lesson blocks are recurring revenue that justifies the spend",sole trader,https://nextdoor.co.uk/pages/driveright-school-of-motoring-reading-gb-eng/,
Clapham Handyman and Property Services (CHAPS),London & South East — Services,Handyman / property maintenance,"Clapham, South West London",claphamhandymen@gmail.com,+44 7961 374065,Facebook page and Nextdoor page only; no website,Branded local trade business (100% recommend rating on Facebook) with no site; public contact is a Gmail address,Affluent Clapham catchment searches Google for handymen; a branded acronym (CHAPS) shows marketing intent that a website would complete,sole trader,https://www.facebook.com/ClaphamHandyman/,
The Helpful Handyman,London & South East — Services,Handyman,"Edgware, North West London",Thehelpfulhandyman1979@gmail.com,,Nextdoor page only; no website,"20+ years' building and maintenance experience (plastering, decorating, tiling) marketed solely via a Nextdoor profile with a personal Gmail",Skilled multi-trade work commands good day rates in NW London; a simple portfolio site would let him escape dependence on one hyperlocal platform,sole trader,https://nextdoor.co.uk/pages/emma-mitchinson-london-england-1/,
Florin the Handyman,London & South East — Services,Handyman,"South Tottenham, London N15",florintopala.ft@gmail.com,07453170190,Free Wix subdomain (florintopalaft.wixsite.com/florinthehandyman) plus Nextdoor page,"Wide service list (flooring, carpentry, roofing, electrics, plumbing, painting) run from a free wixsite.com address and personal Gmail","Already tried to build a site himself, proving he wants one; a proper domain and professional build is a natural, affordable upgrade",sole trader,https://florintopalaft.wixsite.com/florinthehandyman,
Handyman Arts,London & South East — Services,Handyman / home improvement,"166 Great Western Road, London W11",chathandymanarts@gmail.com,,Own domain handymanarts.co.uk but a self-built template site (page slugs like 'contact-us-contact-handyman-arts'); Gmail as public contact; also on Nextdoor,Does full refurbishments in West London yet relies on an amateur-built site with malformed page URLs and a Gmail contact instead of domain email,Refurb jobs in W11 are high-value; a credible rebuild of their existing (clearly DIY) site is an easy pitch since they already maintain a domain,sole trader,https://www.handymanarts.co.uk/contact-us-contact-handyman-arts,
BuzyLizzieCleans,London & South East — Services,Domestic cleaning,"Brighton and Hove, East Sussex",buzylizziecleans@gmail.com,,Nextdoor page only; no website,"Offers general, deep, end-of-tenancy and oven cleaning across Brighton & Hove with only a Nextdoor profile and Gmail contact","End-of-tenancy cleaning is bookable, price-listable work that converts well from a simple site targeting Brighton's large rental market",sole trader,https://nextdoor.co.uk/pages/buzylizziecleans-brighton-gb-eng/,
The Cleaning Fairy (Chloe),London & South East — Services,Domestic cleaning,"Brighton & Hove, East Sussex",cthecleaningfairy@gmail.com,,Nextdoor page only; no website (identically named businesses in the US are unrelated),Markets reliable home cleaning for busy households and older residents purely through Nextdoor with a personal Gmail,Memorable brand name currently unprotected online; a small site with a booking form secures the name locally and fills a regular-clients roster,sole trader,https://nextdoor.co.uk/pages/the-cleaning-fairy-brighton-england/,
XIX Logistics Ltd,London & South East — Services,Removals / man and van,"Islington, London N1",XIXlogistics@gmail.com,,"Facebook, Instagram and Nextdoor pages only; no website (similar-named US/software sites are unrelated)","Family-run removals ltd claiming 20+ years' experience, offering domestic and commercial removals, clearance and assembly, but contactable only via Gmail and social pages",Commercial removals clients vet suppliers online; an incorporated firm with two decades of trading has both the need and budget for a proper site,ltd company,https://nextdoor.co.uk/pages/xix-logistics-ltd/,
Eden Garden Services,London & South East — Services,Gardening,"Chelmsford / Maldon area, Essex",edengardenservices22@gmail.com,,Nextdoor page only; no website,"Covers a wide rural Essex patch (Purleigh, Tiptree, Heybridge Basin, the Tolleshunts) with grass, hedge and border work but has no web presence beyond Nextdoor",Serving many dispersed villages makes local-search visibility essential; a site listing each covered village would out-rank his Nextdoor-only presence,sole trader,https://nextdoor.co.uk/pages/eden-garden-services-chelmsford-england/,
Man With A Van West Sussex (Matt Clark),London & South East — Services,Removals / man and van,"Littlehampton / Worthing, West Sussex",mattclark558@gmail.com,,Nextdoor page only; no website,Courier/removals service across the West Sussex coast advertised solely on Nextdoor under a personal Gmail address,'Man with a van Worthing/Littlehampton' searches go to competitors with sites; a one-pager with prices and a quote form captures that intent cheaply,sole trader,https://nextdoor.co.uk/pages/man-with-a-van-west-sussex-worthing-based-worthing-gb-eng/,
L's Sparkle Clean,London & South East — Services,Domestic and commercial cleaning,London,lscleaningservicee@gmail.com,,Facebook page and Nextdoor page only; no website,"Advertises 13+ service lines (carpet, oven, builders, end-of-tenancy, office cleaning) across 15+ areas with 5-star reviews but no site to present them","A service menu that broad needs a structured website with per-service pages; they already run promotions (5% first-booking discount), showing marketing appetite",sole trader,https://www.facebook.com/lscleaningservicee/,
Phoenix Removal Services Ltd,London & South East — Services,Removals,"Beckenham / Sydenham, South East London",phoenixremovalservices@gmail.com,07534271831 (WhatsApp),"Nextdoor, Facebook and Instagram; a phoenixremovalservices.co.uk domain is referenced in their profile but no live site for it appears in the search index — quotes run via WhatsApp photos and Gmail",Incorporated removals firm (Companies House 15420413) taking quote requests by WhatsApp and Gmail; its referenced domain shows no indexed live website,Offers full packing/storage/office-move packages nationwide — services sold on trust that a dead or missing website actively undermines,ltd company,https://nextdoor.co.uk/pages/phoenix-removals-services-london-england/,
Omar Tuitions (online maths tutor),London & South East — Services,Tutoring,London,omartuitions99@gmail.com,,Nextdoor business page only; no website,Offers KS1–GCSE maths tuition with contact via a personal Gmail on a free community-directory page,"Parents comparison-shop tutors online and expect qualifications, pricing and testimonials on a website; recurring weekly lessons make customer acquisition valuable",sole trader,https://nextdoor.co.uk/pages/pimlico-hijama-teddington-gb-eng/,RE-VERIFY source before contact
L&L Gardening (Laura Burke & Lucy-ann Gilbert),London & South East — Services,Gardening / garden design,Brighton and wider Sussex,lauraburkegardening@gmail.com,,Nextdoor pages only; no website,"Two-person team offering garden design and regular maintenance across Sussex, reachable only via a personal Gmail on Nextdoor","Garden design is a visual, higher-margin service that sells through before/after portfolios — exactly what a simple gallery website provides",sole trader,https://nextdoor.co.uk/pages/ll-gardening-brighton-gb-eng/,
Bridge Farm Cider,South West & East Anglia — Retail/Produce,Cider maker / farm produce retail,"East Chinnock, near Yeovil, Somerset",bridgefarm1055@gmail.com,07850 407097,Very dated static brochure site (bridgefarmcider.co.uk/home.html) plus Instagram; listed on beer/cider directories,"Award-winning cider maker offering nationwide delivery and free local delivery, but has no online shop and only a 1990s-style static site; orders taken by phone/email via a Gmail address",25 years established with an existing nationwide delivery operation; an e-commerce site would directly convert their delivery trade into online orders,unknown,http://findalocalbeer.co.uk/page/ciders,
Farmhouse Dairy Somerset (Moo Valley Milk),South West & East Anglia — Retail/Produce,Dairy / doorstep milk delivery and farm produce,"Temple Cloud, Somerset",farmhousedairysomerset@gmail.com,,Facebook and Instagram only; their former domain farmhousedairysomerset.co.uk has lapsed and is listed for sale on Dan.com,Own website domain expired and is now being resold; doorstep milk-round business now relies entirely on social media for orders and announcements,Delivery/subscription business model (doorstep milk rounds within 5 miles of Temple Cloud) suits online ordering and round management; they previously invested in a domain so understand the value,unknown,https://www.facebook.com/farmhousedairysomerset/,
Cornwall Country Flowers,South West & East Anglia — Retail/Produce,Florist / British-grown flower farm,"Mylor Bridge, near Falmouth and Truro, Cornwall",cornwallcountryflowersmylor@gmail.com,,Free WordPress.com blog (cornwallcountryflowers.wordpress.com) and Instagram,Operating from a free wordpress.com subdomain with no e-commerce; taking wedding bookings for 2026/27 and local bouquet deliveries via email only,Wedding flowers are high-ticket work won on presentation; a proper portfolio site with booking/ordering would outperform a free blog in the competitive Falmouth/Truro wedding market,sole trader,https://cornwallcountryflowers.wordpress.com/,
Hilltop Farm Shop,South West & East Anglia — Retail/Produce,Farm shop and cafe,"Slaughterbridge, Camelford, Cornwall (near Tintagel)",Hilltop-Farmshop@outlook.com,01840 211518,"Basic brochure site (hilltopfarmshop-cornwall.co.uk) plus Facebook; strong TripAdvisor presence (4.3, #6 in Camelford)","Generic Outlook contact email and a minimal site with no online ordering, menus or hamper sales despite heavy tourist footfall on the Tintagel/Camelford route","Cafe plus local-produce retail in a major tourist corridor; also competes online with two other 'Hilltop Farm Shop' businesses in the UK, so owning search results matters to them",unknown,https://www.hilltopfarmshop-cornwall.co.uk/,
Trevallick's Farm Shop & Tea Room,South West & East Anglia — Retail/Produce,"Farm shop and tea room (Cornish produce, hampers)","Caradon Farm, Pensilva, near Liskeard, Cornwall (edge of Bodmin Moor)",trevallicksfarmshop@gmail.com,01579 364061,"Amateur WordPress site trevallicks.com (About page still on default 'sample-page' slug), plus active Facebook/Instagram","Site is clearly self-built with default WordPress slugs and no online ordering despite selling hampers, gins and local goods; contact runs through a Gmail address","Family-run destination attraction (tea room, resident pigs, Top 100 attractions listing) near Bodmin Moor tourism; hampers and afternoon-tea bookings are natural online revenue",unknown,https://www.foodfromcornwall.co.uk/trevallicks-farm-shop/,
The Flowershed at Trebilcocks,South West & East Anglia — Retail/Produce,Florist / wholesale fresh flowers and foliage,"Chacewater, Truro, Cornwall",flowershedtrebilcocks@gmail.com,01872 560419,Yell and Yelp listings plus Facebook (trebilcocksflowers); their indexed domain trebilcocks.co.uk no longer resolves,Former website domain appears dead (DNS no longer resolves) while directory listings still point to it; weekly flower delivery and wedding/corporate work now has no working web home,"Established wholesale and events florist serving florists and weddings across Cornwall; losing their site means lost trade enquiries, an easy case for a rebuild",unknown,http://trebilcocks.co.uk/about-us/,
Mike Turton Butcher & Delicatessen,South West & East Anglia — Retail/Produce,Butcher and deli,"High Street, Ilfracombe, Devon EX34 9EZ",miketurtonbutcher@gmail.com,01271 863643,"Legacy one-page site (miketurtonbutcher.uk, originally a Google Business site) plus Facebook and Yell listing",50+ year old shop with award-winning sausages and an in-house bakery but only a defunct-format one-pager; no online ordering or click-and-collect,Ilfracombe's seasonal tourist trade plus an established local customer base; meat boxes and holiday-let hamper orders are a proven online revenue stream for coastal butchers,sole trader,https://traditionalboerewors.uk/devon/,
Cox and Laflin Butchers,South West & East Anglia — Retail/Produce,Butcher (Dartmoor field-to-plate meat boxes),"Ullacombe Farm, Haytor Road, Bovey Tracey, Newton Abbot, Devon TQ13 9LL",coxandlaflinbutchers@gmail.com,01647 277157,"Dated http-only site (coxandlaflin.co.uk) plus Facebook, X and a Taste of the West member listing","Award-winning (Taste of the West gold) butchery selling meat boxes, but the site is old, not on https, and has no online box ordering; enquiries via Gmail",Meat-box subscriptions and BBQ smoker hire are ready-made e-commerce products; Dartmoor tourist location (Haytor road) brings seasonal traffic worth capturing online,unknown,https://traditionalboerewors.uk/devon/,
Galleon Stores & Galmpton Post Office,South West & East Anglia — Retail/Produce,Village store / local produce retail and post office,"51 Stoke Gabriel Road, Galmpton, Brixham, Devon TQ5 0NH",galleonstores1993@gmail.com,01803 842148,Dated WordPress site (galleonstores.co.uk) plus Facebook and X,"Community store run since 1993 stocking local produce and fresh bakes, with only an old blog-style site; no click-and-collect or local delivery ordering",Located between Paignton and Brixham with heavy holiday-park trade; click-and-collect for holidaymakers and locals would extend their post-office footfall model,unknown,https://traditionalboerewors.uk/devon/,
Soutars Fine Meats,South West & East Anglia — Retail/Produce,"Butcher (Dorset free-range, grass-fed meats)","14 Bournemouth Road, Poole, Dorset BH14 0ES",soutarsfinemeats@gmail.com,01202 747972,"Facebook and Instagram only; remaining web presence is scraper directories (wheree, cylex, com-place) — no own website found",Registered LLP selling weekly meat boxes and marinated/specialty meats with no website at all; customers must phone or use Facebook,Already sells weekly meat boxes (a subscription product) in the affluent Poole/Bournemouth market; a site with box ordering would formalise existing demand,ltd company,https://traditionalboerewors.uk/dorset/,
Stowell Farm Shop,South West & East Anglia — Retail/Produce,"Farm shop (organic produce, grass-fed meat, local dairy)","Stowell Farm, Stowell Lane, Corsham, Wiltshire SN13 0QE",stowellfarmshop@gmail.com,,Facebook and Instagram plus a minimal stowellfarm.shop micro-page and BigBarn directory listing,"Sells own-farm lamb, beef, pork and local dairy but has no substantive website or online ordering; runs on social media and a Gmail address",Corsham/Bath fringe is a strong local-food market (100% recommendation rating); meat boxes and click-and-collect would fit their farm-gate model directly,unknown,https://www.bigbarn.co.uk/producer/corsham/stowell-farm-shop-29464,
Meat at The Shambles,South West & East Anglia — Retail/Produce,Butcher and delicatessen,"7 The Shambles, Bradford-on-Avon, Wiltshire BA15 1JS",meatattheshambles@gmail.com,,"Basic template site (meatattheshambles.co.uk) with no online shop, plus two Facebook pages","Registered Ltd company (Meat @ The Shambles Ltd) trading since 2022 in a prime tourist street, but web presence is a thin single-purpose site and split Facebook pages; orders via Gmail",Owner has 30 years in the trade and previously ran a large Keynsham shop; Bradford-on-Avon's tourist and commuter trade supports click-and-collect and deli hampers,ltd company,https://traditionalboerewors.uk/wiltshire/,
The Flower Shop Bristol,South West & East Anglia — Retail/Produce,Florist (weddings and events),Bristol,theflowershopbristol@gmail.com,0117 9420050,Shopify site (theflowershopbristol.com) with unfinished pages still on 'weddings-mockup' slugs,"Live site contains placeholder/mockup page URLs, signalling an unfinished self-managed build; consultations booked by phone or Gmail rather than through the site",Bristol/Southwest wedding floristry is competitive and image-led; they already pay for Shopify but clearly need professional help finishing and polishing the storefront,unknown,https://theflowershopbristol.com/,
Beast to Block,South West & East Anglia — Retail/Produce,Craft butcher and bottle shop (whole-carcass butchery),"27A Church Street, Cromer, Norfolk",beasttoblock@gmail.com,,"Facebook only, plus third-party directory listings (cylex, britaindirect); no own website found","Press-covered independent butcher (North Norfolk News, Ross Kemp visit) trading since 2021 with no website at all; contact is a Gmail address",Cromer is a busy seaside tourist town; holiday-cottage BBQ boxes and Christmas order books are natural online products for a butcher with this profile,unknown,https://traditionalboerewors.uk/norfolk/,
Holt Antiques & Interiors Centre,South West & East Anglia — Retail/Produce,"Antiques centre (20+ dealers, vintage and interiors)","Candlestick Barn, Thornage Road, Holt, Norfolk NR25 6SU",antiquescentreholt@gmail.com,01263 478110,"No own website found; relies on tourism directories (Visit North Norfolk, Visit Norfolk, Antiques Atlas) and word of mouth","3,000 sq ft centre with 20+ dealers open 7 days a week, yet has only directory listings and a Gmail contact; no site to showcase dealers, stock or space rental","Holt is North Norfolk's premier antiques/tourist town; a site with dealer pages and featured stock drives footfall and dealer-space rental income, and online antiques sales are booming",unknown,https://vintagefarmhouse.co.uk/pages/antiques-centre-antiques-shops-in-norfolk-uk,
Murtons Florist,South West & East Anglia — Retail/Produce,"Florist (weddings, funerals, click-and-collect)","47 Woodbridge Road East, Ipswich, Suffolk IP4 5ST",murtonsflorist@gmail.com,01473 400240,"Dated third-party .aspx relay-service template sites (murtonsipswich.co.uk and murtonsonline.co.uk) plus Facebook, Instagram and X",Trading through generic white-label florist-network templates on two confusing domains rather than an own-brand site; commission-based relay platforms eat margin on every order,"Already delivers 6 days a week and offers click-and-collect, so they demonstrably transact online; an independent site would recover relay commissions and consolidate their split web presence",unknown,https://www.murtonsipswich.co.uk/Contact_Us.aspx,
HoneyShed Bakery & Catering,South West & East Anglia — Retail/Produce,"Bakery (wedding and celebration cakes, catering)","East Cambridgeshire village near Newmarket, Cambridgeshire",honeyshed.bakery@gmail.com,,"Basic self-built Wix site (honeyshedbakery.co.uk) with default slugs like 'blank-page-1', plus Facebook, Instagram and X",Wix site has unfinished default page URLs and orders run through a Gmail address; wedding-cake business depends on portfolio presentation the current site lacks,Wedding cakes for the Newmarket/Cambridge market are high-value commissions won on visual polish; a professional gallery and enquiry/booking flow directly wins orders,sole trader,https://www.suffolkbusinessdirectory.com/item/the-honeyshed-bakery/,
The Bushel Box Farm Shop,South West & East Anglia — Retail/Produce,Farm shop (orchard fruit - 34 plum and 31 apple varieties - and local produce),"130-140 Station Road, Willingham, Cambridge, Cambridgeshire CB24 5HG",wendy@bushelboxfarmshop.co.uk,01954 206015,Two overlapping dated sites (legacy iWeb-style bushelbox.co.uk and basic bushelboxfarmshop.co.uk) plus Facebook; no online ordering,"Web presence is split across an ancient legacy site and a basic newer one, neither with e-commerce; seasonal orchard fruit business announces reopenings via Facebook","Registered Ltd company established 2011 with 50+ years of fruit growing; seasonal fruit boxes and pre-orders suit click-and-collect, and consolidating two confusing domains is an easy sell",ltd company,https://farmretail.co.uk/retailer/the-bushel-box-farm-shop/,
Howlett End Farm Shop,South West & East Anglia — Retail/Produce,"Farm shop (butchery cuts, fruit and veg, daily baked goods)","Taylors Barns, Elder Street, Wimbish, Saffron Walden, Essex CB10 2XA",howlettendfarmshop@gmail.com,01799 934040,Simple brochure site (howlettendfarmshop.com) plus Facebook; no online shop,Recently established farm shop trading on a Gmail address with only a thin brochure site; no click-and-collect for its butchery counter or baked goods,Sits between Saffron Walden and Thaxted serving an affluent rural catchment; weekly-shop pre-orders and Christmas butchery orders justify a proper ordering site,unknown,https://www.howlettendfarmshop.com/,
The Green Barn Farm Shop & Cafe,South West & East Anglia — Retail/Produce,"Farm shop and cafe (greengrocer, local meat, dairy)","North Benfleet Hall, North Benfleet, Benfleet, Essex SS12 9JR",farmshoporders@gmail.com,07930 169290,Basic site (greenbarnfarmshop.com) plus Nextdoor and food directory listings; orders handled via a generic Gmail address and mobile number,"Order email is a generic 'farmshoporders@gmail.com' with a mobile number as the shop line; site has no ordering despite the shop selling meat, fish, cheese and hampers alongside a cafe and fishery","Multi-revenue site (shop, cafe, fishery, kids activities) just off the A13 with a large Basildon/Benfleet catchment; online ordering and event promotion would lift every arm of the business",unknown,https://greenbarnfarmshop.com/contact-us,
