sku,style,aspect_ratio,resolution,prompt
AA-104,oil,4:5,2k,"Classical oil painting on canvas: a ziggurat with its triple staircase and summit shrine, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-105,oil,4:5,2k,"Classical oil painting on canvas: a mudbrick ziggurat above date palm groves, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-106,oil,4:5,2k,"Classical oil painting on canvas: a ziggurat in a dust storm, tiers fading into haze, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-107,oil,4:5,2k,"Classical oil painting on canvas: a restored ziggurat facade with buttressed walls, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-108,oil,4:5,2k,"Classical oil painting on canvas: a ziggurat reflected in irrigation canals, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-109,oil,4:5,2k,"Classical oil painting on canvas: caravans approaching a ziggurat at dusk, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-110,oil,4:5,2k,"Classical oil painting on canvas: a ziggurat silhouetted against a star-strewn sky, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-111,engrave,4:5,2k,"Antique copperplate engraving: a celestial map with constellation figures drawn as connected stars, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-112,engrave,4:5,2k,"Antique copperplate engraving: an astrolabe rete overlaid on a star chart ring, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-113,engrave,4:5,2k,"Antique copperplate engraving: a planisphere with graduated degree rings and star magnitudes, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-114,engrave,4:5,2k,"Antique copperplate engraving: a comet's path plotted across a constellation chart, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-115,engrave,4:5,2k,"Antique copperplate engraving: a zodiac-free star atlas plate of the northern sky, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-116,engrave,4:5,2k,"Antique copperplate engraving: a lunar phase diagram ringed by star positions, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-117,engrave,4:5,2k,"Antique copperplate engraving: an armillary sphere diagram with celestial circles, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-118,engrave,4:5,2k,"Antique copperplate engraving: a meteor shower radiant plotted on a star grid, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-119,engrave,4:5,2k,"Antique copperplate engraving: a southern sky chart with the milky way band stippled, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-120,engrave,4:5,2k,"Antique copperplate engraving: an eclipse prediction diagram with solar and lunar disks, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-121,oil,4:5,2k,"Classical oil painting on canvas: a two-tiered Roman aqueduct striding across a river valley, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-122,oil,4:5,2k,"Classical oil painting on canvas: aqueduct arches golden in evening light with cypress trees, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-123,oil,4:5,2k,"Classical oil painting on canvas: a ruined aqueduct span ending abruptly mid-valley, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-124,oil,4:5,2k,"Classical oil painting on canvas: an aqueduct crossing farmland with grazing sheep, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-125,oil,4:5,2k,"Classical oil painting on canvas: the towering arches of an aqueduct against storm clouds, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-126,oil,4:5,2k,"Classical oil painting on canvas: an aqueduct bridge reflected in the river below, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-127,oil,4:5,2k,"Classical oil painting on canvas: a triple-tiered aqueduct in mountain foothills, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-128,oil,4:5,2k,"Classical oil painting on canvas: ivy-covered aqueduct piers along a country road, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-129,oil,4:5,2k,"Classical oil painting on canvas: an aqueduct vanishing into morning mist, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-130,oil,4:5,2k,"Classical oil painting on canvas: shepherds' huts beneath monumental aqueduct arches, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-131,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a winged scarab beetle lifting the sun disk, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-132,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a lapis scarab amulet with spread falcon wings, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-133,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a scarab pushing the solar orb above the horizon, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-134,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a heart scarab with folded wings and gold banding, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-135,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a scarab flanked by twin cobras and sun rays, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-136,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a scarab over a lotus garland, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-137,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a scarab within a cartouche-shaped border of stars, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-138,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a turquoise scarab with outstretched feathered wings, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-139,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a scarab above a solar barque on stylized water, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-140,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a great scarab emblem ringed by rosettes, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-141,engrave,4:5,2k,"Antique copperplate engraving: a lone obelisk with gilded pyramidion at dawn, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-142,engrave,4:5,2k,"Antique copperplate engraving: twin obelisks flanking a ruined temple pylon, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-143,engrave,4:5,2k,"Antique copperplate engraving: a fallen obelisk lying in quarry sand, partly carved, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-144,engrave,4:5,2k,"Antique copperplate engraving: an obelisk rising above palm trees by a riverbank, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-145,engrave,4:5,2k,"Antique copperplate engraving: an obelisk with survey scaffolding from an early expedition, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-146,engrave,4:5,2k,"Antique copperplate engraving: a granite obelisk against towering cumulus clouds, dawn light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-147,engrave,4:5,2k,"Antique copperplate engraving: an obelisk casting a long shadow across a plaza, candlelit warmth. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-148,engrave,4:5,2k,"Antique copperplate engraving: the unfinished obelisk still attached to bedrock, harsh desert noon. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-149,engrave,4:5,2k,"Antique copperplate engraving: an obelisk on a barge being floated down the Nile, cool morning haze. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-150,engrave,4:5,2k,"Antique copperplate engraving: a weathered obelisk in a reed-fringed lagoon, soft overcast light. 18th century archaeological expedition illustration, fine crosshatched linework, sepia ink on aged foxed paper with deckled edges, elegant thin ruled border, no people, no faces, no text, no watermark"
AA-151,oil,4:5,2k,"Classical oil painting on canvas: a Doric temple facade with sculpted pediment at sunset, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-152,oil,4:5,2k,"Classical oil painting on canvas: a hilltop temple above terraced olive groves, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-153,oil,4:5,2k,"Classical oil painting on canvas: a ruined temple interior open to the sky, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-154,oil,4:5,2k,"Classical oil painting on canvas: a temple by the sea with waves breaking below, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-155,oil,4:5,2k,"Classical oil painting on canvas: a torch-lit temple front at dusk, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-156,oil,4:5,2k,"Classical oil painting on canvas: a temple half-buried in drifting sand, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-157,oil,4:5,2k,"Classical oil painting on canvas: a round tholos temple in a laurel grove, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-158,oil,4:5,2k,"Classical oil painting on canvas: a temple reflected in a sacred spring, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-159,oil,4:5,2k,"Classical oil painting on canvas: a mountain sanctuary temple wreathed in cloud, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-160,oil,4:5,2k,"Classical oil painting on canvas: a temple portico with votive garlands between columns, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-161,oil,4:5,2k,"Classical oil painting on canvas: a Greek trireme under full sail on a wine-dark sea, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-162,oil,4:5,2k,"Classical oil painting on canvas: a merchant galley riding heavy swells, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-163,oil,4:5,2k,"Classical oil painting on canvas: a trireme with painted eye on the prow cutting through waves, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-164,oil,4:5,2k,"Classical oil painting on canvas: a fleet of galleys on the horizon at dawn, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-165,oil,4:5,2k,"Classical oil painting on canvas: a beached trireme with furled sail in a rocky cove, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-166,oil,4:5,2k,"Classical oil painting on canvas: a galley rounding a headland lighthouse, dawn light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-167,oil,4:5,2k,"Classical oil painting on canvas: a trireme in a following sea, oars shipped, candlelit warmth. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-168,oil,4:5,2k,"Classical oil painting on canvas: a night passage with a galley under stars, harsh desert noon. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-169,oil,4:5,2k,"Classical oil painting on canvas: a trireme leaving a fortified harbor, cool morning haze. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-170,oil,4:5,2k,"Classical oil painting on canvas: a lone galley in glassy calm, sail hanging slack, soft overcast light. Visible impasto brushstrokes, varnished canvas texture, 19th century romanticism style, rich atmospheric light, museum fine art, no people, no faces, no text, no watermark"
AA-171,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a great ankh symbol flanked by was scepters, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-172,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a djed pillar wrapped with gold bands, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-173,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a winged sun disk with twin uraeus cobras, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-174,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: an ankh entwined with lotus stems, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-175,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a shen ring above stylized water lines, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-176,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a golden ankh radiating light rays, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-177,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a djed pillar between twin obelisks, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-178,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a winged sun over a temple gateway, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-179,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: an ankh, djed and was grouped as a blessing, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-180,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a solar disk in a barque with protective wings, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-181,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: the phases of the moon stacked in a ritual column, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-182,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a full moon ringed by rays above stylized water, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-183,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: crescent moons in procession across a star band, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-184,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a lunar disk cradled in a solar barque, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-185,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: the moon cycle arranged in a great circle, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-186,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a crescent moon above a field of gold stars, dawn light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-187,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: moon phases flanked by kneeling lotus buds, candlelit warmth. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-188,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: an eclipse sequence painted as nested disks, harsh desert noon. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-189,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: the moon god's silver disk between twin horns, cool morning haze. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-190,papyrus,4:5,2k,"Gouache painting on authentic aged papyrus: a waning moon over rippled Nile water, soft overcast light. Lapis blue, ochre and terracotta mineral pigments with gold leaf accents, visible papyrus fiber and frayed edges, ancient Egyptian art style, soft natural light, fine art print, no human figures, no faces, no hieroglyphic text, no watermark"
AA-191,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a great Assyrian rosette with concentric petal rings, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-192,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a band of alternating rosettes and palmettes, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-193,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a sunflower-form rosette within a guilloche ring, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-194,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a lotus-petal rosette medallion, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-195,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a rosette field pattern from a palace wall, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-196,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a rosette with alternating red and blue petals, dawn light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-197,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: an eight-petal rosette inside a square frame, candlelit warmth. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-198,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a rosette ceiling boss with radiating leaves, harsh desert noon. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-199,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a rosette flanked by winged sun motifs, cool morning haze. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
AA-200,fresco,4:5,2k,"Aged fresco painting on cracked lime plaster: a giant rosette with a hundred fine petals, soft overcast light. Faded terracotta, ochre and charcoal mineral pigments, chipped plaster patches, water stains and centuries of patina, photographed straight-on under soft diffused museum light, museum fine art print, no people, no faces, no text, no watermark"
